"Cost per conversation in INR, effective June 1, 2023",,,,,,
"Note: Authentication-International rate applies for Indonesia as of June 1, 2024 and India as of July 1, 2024. Refer to our developer documentation for more detail on this rate.",,,,,,
"Note: Utility rates below apply as of August 1, 2024.",,,,,,
"Note: Marketing rates below apply as of October 1, 2024.",,,,,,
Market,Currency,Marketing,Utility,Authentication,Authentication-International,Service
Argentina,₹,4.5293,2.4918,2.6888,n/a,2.3130
Brazil,₹,4.5808,0.5863,2.3087,n/a,2.1987
Chile,₹,6.5135,1.4654,3.8642,n/a,3.3279
Colombia,₹,0.9161,0.0147,0.5607,n/a,0.4397
Egypt,₹,7.8651,0.3812,4.5321,n/a,4.7191
France,₹,10.4984,2.1994,5.0674,n/a,6.2990
Germany,₹,10.0073,4.0322,5.6308,n/a,6.0044
India,₹,0.7846,0.1150,0.1150,2.3000,0.2906
Indonesia,₹,3.0111,1.4653,2.1979,9.9638,1.3890
Israel,₹,2.5871,0.3885,1.2368,n/a,1.3192
Italy,₹,5.0614,2.1974,2.7687,n/a,2.8259
Malaysia,₹,6.3037,1.0262,1.3194,n/a,1.6096
Mexico,₹,3.1938,0.7325,1.7537,n/a,0.7669
Netherlands,₹,11.7078,3.6656,5.2784,n/a,6.5320
Nigeria,₹,3.7851,0.4915,2.1060,n/a,2.2710
Pakistan,₹,3.4683,0.3960,1.6696,n/a,1.0405
Peru,₹,5.1536,1.4662,2.7626,n/a,1.3152
Russia,₹,5.8767,2.9311,3.1457,n/a,2.9149
Saudi Arabia,₹,3.3292,0.8420,1.6580,n/a,1.4277
South Africa,₹,2.7821,0.5579,1.3213,n/a,1.2332
Spain,₹,4.5044,1.4648,2.5049,n/a,2.7026
Turkey,₹,0.7989,0.3884,0.6101,n/a,0.2199
United Arab Emirates,₹,2.8164,1.1509,1.3033,n/a,1.3899
United Kingdom,₹,3.8747,1.6122,2.6249,n/a,2.8448
North America,₹,1.8313,0.2930,0.9889,n/a,0.6461
Rest of Africa,₹,1.6497,0.4472,1.0558,n/a,2.6572
Rest of Asia Pacific,₹,5.3664,1.1510,3.1124,n/a,1.6385
Rest of Central & Eastern Europe,₹,6.2997,2.5858,4.0809,n/a,1.8350
Rest of Latin America,₹,5.4207,0.8278,3.2581,n/a,3.1030
Rest of Middle East,₹,2.4993,1.1507,1.3030,n/a,1.5985
Rest of Western Europe,₹,4.3378,2.1982,2.7697,n/a,2.9104
Other,₹,4.4248,0.5641,2.2292,n/a,1.0615